AIR BUS CAMPUS,Air Bus @Campus@
AIR BUS EXPRESS,Air Bus *EXP.*
AIR BUS IT,Air Bus @I.T.@
AIR BUS PAR,Air Bus @PAR@
AIR BUS PLAZA,Air Bus @Plaza@
AIR BUS,Air Bus
BLUE ALTERNATE,Blue *ALT.*
BLUE CAMPUS,Blue @Campus@
BLUE,Blue
BRONZE ALTERNATE,Bronze *ALT.*
BRONZE YANKEE RIDGE,Bronze @Yankee Ridge@
BRONZE,Bronze
BROWN ALT,Brown *ALT.*
BROWN ALTERNATE,Brown *ALT.*
BROWN IT,Brown @I.T.@
BROWN,Brown
GOLD ALTERNATE,Gold *ALT.*
GOLD E-14,Gold E-14
GOLD EXPRESS,Gold *EXP.*
GOLD KRANNERT,Gold @Krannert@
GOLD LSQ,Gold @LSQ@
GOLD UNION,Gold @Union@
GOLD,Gold
GOLDHOPPER,GoldH*OPPER*
GREEN ALTERNATE,Green *ALT.*
GREEN CAMPUS,Green @Campus@
GREEN CF,Green @C.F.@
GREEN EX ALT,Green *EXP.* *ALT.*
GREEN EXPRESS,Green *EXP.*
GREEN ILLINI UNION,Green @Union@
GREEN IT,Green @I.T.@
GREEN LINCOLN SQ,Green @LSQ@
GREEN LSQ,Green @LSQ@
GREEN MEIJER,Green @Meijer@
GREEN SAVANNAH,Green @Savannah@
GREEN SCOTTSWOOD,Green @Scottswood@
GREEN SUNNYCREST,Green @Sunnycrest@
GREEN UNION,Green @Union@
GREEN,Green
GREENHOPPER I.T.,GreenH*OPPER* @I.T.@
GREENHOPPER IT,GreenH*OPPER* @I.T.@
GREENHOPPER LSQ,GreenH*OPPER* @LSQ@
GREENHOPPER,GreenH*OPPER*
GREY ALTERNATE,Grey *ALT.*
GREY,Grey
ILLINI LIMITED,Illini *LIMITED*
ILLINI,Illini
LAVENDER ALTERNATE,Lavender *ALT.*
LAVENDER EX CAMPUS,Lavender *EXP.* @Campus@
LAVENDER EX,Lavender *EXP.*
LAVENDER EXPRESS,Lavender *EXP*.
LAVENDER,Lavender
LIME,Lime
NAVY,Navy
ORANGE IT,Orange @I.T.@
ORANGE LSQ,Orange @LSQ@
ORANGE,Orange
ORANGEHOPPER,OrangeH*OPPER*
ORCHARD DOWNS,Orchard Downs
PINK,Pink
PLUM,Plum
RED EX CAMPUS ONLY,Red *EXP.* @Campus@
RED EX NO MALL,Red *EXP.* @No Mall@
RED EX,Red *EXP.*
RED EXPRESS,Red *EXP.*
RED IT,Red @I.T.@
RED LINCOLN & NEVADA,Red @Lincoln &amp; Nevada@
RED,Red
RUBY,Ruby
SILVER LIMITED,Silver *LIMITED*
SILVER,Silver
TEAL ORCHARD DOWNS,Teal @Orchard Downs@
TEAL PAR,Teal @PAR@
TEAL,Teal
TRANSPORT,Tran*SPORT*
YELLOW ALTERNATE,Yellow *ALT.*
YELLOW CAMPUS,Yellow @Campus@
YELLOW E-14,Yellow @E-14@
YELLOW E14,Yellow @E-14@
YELLOW EXPRESS,Yellow *EXP.*
YELLOW GERTY,Yellow @Gerty@
YELLOW IKENBERRY,Yellow @Ikenberry@
YELLOW IT,Yellow @I.T.@
YELLOW PLAZA,Yellow @Plaza@
YELLOW,Yellow
YELLOWHOPPER E-14,YellowH*OPPER* @E-14@
YELLOWHOPPER GERTY,YellowH*OPPER* @Gerty@
YELLOWHOPPER,YellowH*OPPER*
